    31/50000: episode: 1, duration: 1.430s, episode steps: 31, steps per second: 22, episode reward: 31.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.419 [0.000, 1.000], mean observation: 0.013 [-1.185, 1.776], loss: 0.462173, mean_absolute_error: 0.520752, mean_q: 0.096439
    44/50000: episode: 2, duration: 0.078s, episode steps: 13, steps per second: 166, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.692 [0.000, 1.000], mean observation: -0.069 [-1.867, 1.224], loss: 0.350131, mean_absolute_error: 0.542971, mean_q: 0.292715
    64/50000: episode: 3, duration: 0.116s, episode steps: 20, steps per second: 173, episode reward: 20.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.550 [0.000, 1.000], mean observation: -0.070 [-1.375, 0.833], loss: 0.230972, mean_absolute_error: 0.559493, mean_q: 0.501413
    83/50000: episode: 4, duration: 0.119s, episode steps: 19, steps per second: 160, episode reward: 19.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.421 [0.000, 1.000], mean observation: 0.074 [-0.817, 1.505], loss: 0.116485, mean_absolute_error: 0.604493, mean_q: 0.832621
    98/50000: episode: 5, duration: 0.089s, episode steps: 15, steps per second: 169, episode reward: 15.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.600 [0.000, 1.000], mean observation: -0.090 [-1.368, 0.825], loss: 0.053599, mean_absolute_error: 0.671270, mean_q: 1.152627
   114/50000: episode: 6, duration: 0.090s, episode steps: 16, steps per second: 177, episode reward: 16.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.812 [0.000, 1.000], mean observation: -0.072 [-3.056, 1.962], loss: 0.036350, mean_absolute_error: 0.727577, mean_q: 1.335307
   128/50000: episode: 7, duration: 0.087s, episode steps: 14, steps per second: 160, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.429 [0.000, 1.000], mean observation: 0.111 [-0.934, 1.483], loss: 0.036427, mean_absolute_error: 0.768431, mean_q: 1.452697
   151/50000: episode: 8, duration: 0.132s, episode steps: 23, steps per second: 175, episode reward: 23.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.304 [0.000, 1.000], mean observation: 0.050 [-1.760, 2.679], loss: 0.029889, mean_absolute_error: 0.820142, mean_q: 1.600496
   162/50000: episode: 9, duration: 0.066s, episode steps: 11, steps per second: 166, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.273 [0.000, 1.000], mean observation: 0.133 [-1.133, 1.962], loss: 0.032700, mean_absolute_error: 0.893022, mean_q: 1.764888
   175/50000: episode: 10, duration: 0.080s, episode steps: 13, steps per second: 162, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.769 [0.000, 1.000], mean observation: -0.118 [-2.439, 1.549], loss: 0.052971, mean_absolute_error: 0.947109, mean_q: 1.870785
   201/50000: episode: 11, duration: 0.156s, episode steps: 26, steps per second: 167, episode reward: 26.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.346 [0.000, 1.000], mean observation: 0.032 [-1.588, 2.376], loss: 0.040956, mean_absolute_error: 1.002012, mean_q: 2.005967
   259/50000: episode: 12, duration: 0.330s, episode steps: 58, steps per second: 176, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.500 [0.000, 1.000], mean observation: 0.032 [-1.274, 1.190], loss: 0.058933, mean_absolute_error: 1.170749, mean_q: 2.312404
   292/50000: episode: 13, duration: 0.185s, episode steps: 33, steps per second: 178, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.394 [0.000, 1.000], mean observation: 0.067 [-1.337, 2.339], loss: 0.056220, mean_absolute_error: 1.316334, mean_q: 2.615702
   317/50000: episode: 14, duration: 0.150s, episode steps: 25, steps per second: 167, episode reward: 25.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.480 [0.000, 1.000], mean observation: -0.070 [-1.149, 0.614], loss: 0.066928, mean_absolute_error: 1.464536, mean_q: 2.902142
   333/50000: episode: 15, duration: 0.096s, episode steps: 16, steps per second: 166, episode reward: 16.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.438 [0.000, 1.000], mean observation: 0.070 [-0.988, 1.620], loss: 0.067886, mean_absolute_error: 1.546759, mean_q: 3.074700
   366/50000: episode: 16, duration: 0.204s, episode steps: 33, steps per second: 162, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.576 [0.000, 1.000], mean observation: -0.014 [-1.863, 1.183], loss: 0.111812, mean_absolute_error: 1.668563, mean_q: 3.202938
   389/50000: episode: 17, duration: 0.131s, episode steps: 23, steps per second: 176, episode reward: 23.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.391 [0.000, 1.000], mean observation: 0.055 [-1.163, 1.975], loss: 0.100669, mean_absolute_error: 1.771511, mean_q: 3.488927
   403/50000: episode: 18, duration: 0.090s, episode steps: 14, steps per second: 155, episode reward: 14.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.714 [0.000, 1.000], mean observation: -0.104 [-2.281, 1.364], loss: 0.082871, mean_absolute_error: 1.853316, mean_q: 3.670793
   428/50000: episode: 19, duration: 0.146s, episode steps: 25, steps per second: 172, episode reward: 25.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.360 [0.000, 1.000], mean observation: 0.059 [-1.345, 2.180], loss: 0.141222, mean_absolute_error: 1.945843, mean_q: 3.771812
   474/50000: episode: 20, duration: 0.259s, episode steps: 46, steps per second: 177, episode reward: 46.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.522 [0.000, 1.000], mean observation: 0.018 [-1.109, 0.965], loss: 0.128011, mean_absolute_error: 2.107427, mean_q: 4.119469
   489/50000: episode: 21, duration: 0.090s, episode steps: 15, steps per second: 166, episode reward: 15.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.533 [0.000, 1.000], mean observation: 0.123 [-0.565, 0.950], loss: 0.152254, mean_absolute_error: 2.247525, mean_q: 4.381685
