episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 1, 20, 20.000, 0.467027, 0.514025, -0.0583
 2, 53, 53.000, 0.341551, 0.471468, 0.13228
 3, 33, 33.000, 0.125812, 0.516086, 0.58952
 4, 10, 10.000, 0.033075, 0.600775, 0.99900
 5, 23, 23.000, 0.023084, 0.654777, 1.15175
 6, 59, 59.000, 0.007228, 0.746033, 1.43459
 7, 27, 27.000, 0.008476, 0.876513, 1.71029
 8, 12, 12.000, 0.009621, 0.939235, 1.84686
 9, 49, 49.000, 0.013150, 1.045291, 2.04272
 10, 53, 53.000, 0.023447, 1.239868, 2.41398
 11, 34, 34.000, 0.038374, 1.417582, 2.73384
 12, 18, 18.000, 0.021746, 1.523953, 2.99271
 13, 19, 19.000, 0.056421, 1.596116, 3.08027
 14, 15, 15.000, 0.033325, 1.667770, 3.25901
 15, 12, 12.000, 0.066478, 1.731899, 3.31322
 16, 16, 16.000, 0.076821, 1.798553, 3.45760
 17, 35, 35.000, 0.071272, 1.905804, 3.67913
 18, 17, 17.000, 0.065861, 2.004016, 3.91206
 19, 20, 20.000, 0.053533, 2.093760, 4.07912
 20, 41, 41.000, 0.146776, 2.211040, 4.22052
 21, 35, 35.000, 0.115999, 2.364227, 4.57982
 22, 29, 29.000, 0.166667, 2.513445, 4.81584
 23, 46, 46.000, 0.187802, 2.644397, 5.08153
 24, 16, 16.000, 0.148999, 2.768580, 5.33544
 25, 24, 24.000, 0.162856, 2.847738, 5.51413
 26, 15, 15.000, 0.131934, 2.948329, 5.76052
 27, 15, 15.000, 0.204029, 2.997764, 5.80489
 28, 15, 15.000, 0.227823, 3.037138, 5.86466
 29, 58, 58.000, 0.173444, 3.198209, 6.23294
 30, 11, 11.000, 0.260918, 3.329475, 6.47587
 31, 11, 11.000, 0.277863, 3.345793, 6.46657
 32, 29, 29.000, 0.204944, 3.449117, 6.70497
 33, 15, 15.000, 0.296483, 3.528633, 6.80837
 34, 33, 33.000, 0.193660, 3.626792, 7.06415
 35, 21, 21.000, 0.206284, 3.737151, 7.31235
 36, 27, 27.000, 0.197073, 3.807410, 7.49581
 37, 21, 21.000, 0.294135, 3.942260, 7.72705
 38, 15, 15.000, 0.121405, 4.032370, 8.05708
 39, 48, 48.000, 0.300255, 4.107165, 8.07671
 40, 90, 90.000, 0.343319, 4.377688, 8.64824
 41, 51, 51.000, 0.358932, 4.668140, 9.25864
 42, 70, 70.000, 0.356165, 4.914287, 9.77079
 43, 29, 29.000, 0.313776, 5.134114, 10.3330
 44, 69, 69.000, 0.350650, 5.335874, 10.7338
 45, 85, 85.000, 0.397091, 5.702925, 11.4761
 46, 67, 67.000, 0.419408, 6.007440, 12.1582
 47, 124, 124.000, 0.508668, 6.462300, 13.0402
 48, 137, 137.000, 0.521320, 7.040308, 14.3101
 49, 255, 255.000, 0.616752, 7.933895, 16.1306
 50, 177, 177.000, 0.683640, 8.898702, 18.1483
 51, 175, 175.000, 0.735913, 9.730418, 19.9520
 52, 216, 216.000, 0.920298, 10.649718, 21.8541
 53, 197, 197.000, 0.952905, 11.743236, 24.1062
 54, 309, 309.000, 1.432439, 13.009823, 26.6039
 55, 168, 168.000, 1.194277, 14.115640, 28.8416
 56, 135, 135.000, 1.250672, 14.710758, 30.1519
 57, 206, 206.000, 1.220790, 15.478260, 31.7867
 58, 195, 195.000, 1.550908, 16.469158, 33.7099
 59, 324, 324.000, 1.791962, 17.499374, 35.8322
 60, 232, 232.000, 1.707018, 18.778526, 38.4167
 61, 172, 172.000, 1.392811, 19.540743, 40.0868
 62, 181, 181.000, 2.128438, 20.319500, 41.6205
 63, 182, 182.000, 1.852514, 21.280115, 43.4995
 64, 192, 192.000, 1.657616, 21.810463, 44.6279
 65, 185, 185.000, 2.514138, 22.388046, 45.7921
 66, 209, 209.000, 2.085976, 23.246632, 47.5127
 67, 178, 178.000, 2.954693, 23.857904, 48.7802
 68, 239, 239.000, 2.643826, 24.666710, 50.3854
 69, 181, 181.000, 2.256950, 25.543959, 52.0722
 70, 238, 238.000, 2.516296, 26.200142, 53.4093
 71, 500, 500.000, 2.589974, 27.310734, 55.7157
