episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 1, 22, 22.000, 0.501320, 0.514484, 0.02200
 2, 31, 31.000, 0.497493, 0.569760, 0.15985
 3, 21, 21.000, 0.506150, 0.702798, 0.46904
 4, 27, 27.000, 0.517014, 0.848516, 0.72897
 5, 10, 10.000, 0.438841, 0.718016, 0.56455
 6, 21, 21.000, 0.471766, 0.828614, 0.74383
 7, 12, 12.000, 1.639620, 2.152740, 2.79123
 8, 12, 12.000, 1.714486, 2.242355, 3.24894
 9, 9, 9.000, 3.250407, 2.611840, 4.11563
 10, 14, 14.000, 1.633779, 2.193785, 3.58000
 11, 15, 15.000, 2.769086, 2.479344, 4.13968
 12, 11, 11.000, 3.754115, 2.798854, 4.72994
 13, 10, 10.000, 5.054962, 3.245232, 5.65377
 14, 10, 10.000, 5.485567, 3.401763, 6.05524
 15, 11, 11.000, 4.552793, 3.064757, 5.27234
 16, 14, 14.000, 1.969103, 2.695046, 4.68482
 17, 11, 11.000, 4.813157, 3.347498, 6.11687
 18, 21, 21.000, 2.861816, 2.728772, 4.98250
 19, 10, 10.000, 5.147127, 3.784653, 6.79047
 20, 14, 14.000, 3.886618, 3.212726, 5.69223
 21, 8, 8.000, 6.003985, 3.615062, 6.27650
 22, 9, 9.000, 6.470397, 3.819802, 6.82774
 23, 8, 8.000, 6.035460, 3.660173, 6.40223
 24, 9, 9.000, 6.323212, 3.765103, 6.70411
 25, 11, 11.000, 5.420148, 3.783063, 6.94798
 26, 8, 8.000, 6.216682, 3.758854, 6.68003
 27, 10, 10.000, 6.826185, 4.026547, 7.46558
 28, 11, 11.000, 5.763514, 3.793408, 7.02232
 29, 10, 10.000, 6.880617, 4.095374, 7.61980
 30, 13, 13.000, 4.918793, 3.720503, 6.81824
 31, 13, 13.000, 5.082594, 4.081427, 7.60926
 32, 14, 14.000, 4.247045, 3.803314, 6.91838
 33, 10, 10.000, 5.347007, 4.179523, 7.62183
 34, 12, 12.000, 4.796986, 4.179000, 7.56649
 35, 8, 8.000, 6.853228, 4.426909, 7.89108
 36, 10, 10.000, 4.758997, 4.647638, 8.62612
 37, 20, 20.000, 4.558040, 4.063258, 7.69733
 38, 18, 18.000, 3.067427, 4.127845, 7.78014
 39, 10, 10.000, 7.762828, 4.988780, 9.45962
 40, 13, 13.000, 5.352213, 4.496051, 8.38052
 41, 10, 10.000, 5.968800, 4.588213, 8.37540
 42, 9, 9.000, 5.876084, 4.848367, 8.85190
 43, 8, 8.000, 7.023819, 4.804167, 8.70717
 44, 11, 11.000, 5.436021, 4.676624, 8.66961
 45, 13, 13.000, 3.901513, 4.497845, 8.32323
 46, 9, 9.000, 6.366715, 4.846914, 8.76259
 47, 10, 10.000, 4.975075, 4.651698, 8.48017
 48, 17, 17.000, 3.130701, 4.509286, 8.28182
 49, 15, 15.000, 3.907100, 4.706648, 8.52178
 50, 17, 17.000, 3.140411, 4.835611, 8.79481
 51, 11, 11.000, 5.066042, 5.204162, 9.24783
 52, 12, 12.000, 4.047438, 5.156096, 9.20317
