episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 1, 31, 31.000, 0.462173, 0.520752, 0.09643
 2, 13, 13.000, 0.350131, 0.542971, 0.29271
 3, 20, 20.000, 0.230972, 0.559493, 0.50141
 4, 19, 19.000, 0.116485, 0.604493, 0.83262
 5, 15, 15.000, 0.053599, 0.671270, 1.15262
 6, 16, 16.000, 0.036350, 0.727577, 1.33530
 7, 14, 14.000, 0.036427, 0.768431, 1.45269
 8, 23, 23.000, 0.029889, 0.820142, 1.60049
 9, 11, 11.000, 0.032700, 0.893022, 1.76488
 10, 13, 13.000, 0.052971, 0.947109, 1.87078
 11, 26, 26.000, 0.040956, 1.002012, 2.00596
 12, 58, 58.000, 0.058933, 1.170749, 2.31240
 13, 33, 33.000, 0.056220, 1.316334, 2.61570
 14, 25, 25.000, 0.066928, 1.464536, 2.90214
 15, 16, 16.000, 0.067886, 1.546759, 3.07470
 16, 33, 33.000, 0.111812, 1.668563, 3.20293
 17, 23, 23.000, 0.100669, 1.771511, 3.48892
 18, 14, 14.000, 0.082871, 1.853316, 3.67079
 19, 25, 25.000, 0.141222, 1.945843, 3.77181
 20, 46, 46.000, 0.128011, 2.107427, 4.11946
 21, 15, 15.000, 0.152254, 2.247525, 4.38168
 22, 22, 22.000, 0.133530, 2.313178, 4.53535
 23, 10, 10.000, 0.192256, 2.424197, 4.71486
 24, 38, 38.000, 0.221496, 2.502866, 4.85111
 25, 13, 13.000, 0.183715, 2.625215, 5.12964
 26, 26, 26.000, 0.233408, 2.712213, 5.21670
 27, 12, 12.000, 0.325784, 2.766895, 5.25064
 28, 18, 18.000, 0.282634, 2.831615, 5.46390
 29, 28, 28.000, 0.340393, 2.928390, 5.53063
 30, 14, 14.000, 0.309740, 3.011515, 5.77051
 31, 23, 23.000, 0.285380, 3.064477, 5.88816
 32, 21, 21.000, 0.208964, 3.175031, 6.14943
 33, 26, 26.000, 0.297080, 3.252467, 6.21374
 34, 15, 15.000, 0.272522, 3.355489, 6.45641
 35, 17, 17.000, 0.295594, 3.421803, 6.60369
 36, 17, 17.000, 0.302521, 3.460435, 6.66408
 37, 22, 22.000, 0.388621, 3.523707, 6.74064
 38, 48, 48.000, 0.377797, 3.665827, 7.06113
 39, 61, 61.000, 0.308047, 3.870754, 7.57868
 40, 12, 12.000, 0.321739, 3.981777, 7.84028
 41, 26, 26.000, 0.266805, 4.115370, 8.14722
 42, 22, 22.000, 0.444621, 4.170650, 8.17241
 43, 14, 14.000, 0.362701, 4.273991, 8.38380
 44, 20, 20.000, 0.276549, 4.315343, 8.53478
 45, 98, 98.000, 0.395301, 4.567656, 9.02831
 46, 78, 78.000, 0.470776, 4.920171, 9.71014
 47, 23, 23.000, 0.325626, 5.221853, 10.3621
 48, 77, 77.000, 0.415362, 5.387382, 10.7089
 49, 22, 22.000, 0.471949, 5.515840, 11.0264
 50, 47, 47.000, 0.557169, 5.749341, 11.4518
 51, 139, 139.000, 0.478728, 6.116997, 12.2769
 52, 177, 177.000, 0.554651, 6.825164, 13.7140
 53, 174, 174.000, 0.597474, 7.560439, 15.2414
 54, 246, 246.000, 0.652458, 8.553292, 17.3151
 55, 253, 253.000, 0.817234, 9.773493, 19.8403
 56, 214, 214.000, 1.081461, 10.824377, 21.9849
 57, 272, 272.000, 0.817214, 12.050313, 24.5142
 58, 218, 218.000, 1.177888, 13.279670, 26.9724
 59, 210, 210.000, 1.626281, 14.275281, 28.9410
 60, 259, 259.000, 1.454957, 15.498728, 31.4995
 61, 344, 344.000, 1.579097, 17.051638, 34.6784
 62, 222, 222.000, 1.844857, 18.484995, 37.5170
 63, 229, 229.000, 2.171824, 19.672974, 39.8707
 64, 267, 267.000, 2.968916, 20.811958, 42.1111
 65, 220, 220.000, 2.831054, 21.949261, 44.3794
 66, 430, 430.000, 2.740174, 23.215549, 47.0711
 67, 244, 244.000, 3.389724, 24.567900, 49.7132
 68, 298, 298.000, 3.148123, 25.677740, 51.9924
 69, 285, 285.000, 3.001022, 26.740484, 54.0865
 70, 236, 236.000, 3.708522, 27.619186, 55.8271
 71, 269, 269.000, 3.557364, 28.477688, 57.5006
 72, 246, 246.000, 3.480074, 29.212271, 59.0463
 73, 241, 241.000, 3.266057, 30.000526, 60.6905
 74, 233, 233.000, 4.195776, 30.777973, 62.2090
